Applicant_ID,Gender,Married,Dependents,Education,Self_Employed,Employment_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_History,Existing_Loans_Count,Years_At_Current_Job,Debt_To_Income_Ratio,Property_Area,Loan_Status
APP100030,Female,Yes,1,Not Graduate,No,Business Owner,5329.0,910.0,70.0,,690.0,1.0,0,5.1,0.079,Rural,Y
APP100031,Female,No,2,Graduate,No,Salaried,7111.0,0.0,125.0,120.0,670.0,1.0,0,10.4,0.132,Semiurban,Y
APP100032,Male,Yes,1,Graduate,No,Self-Employed,7853.0,2515.0,216.0,240.0,516.0,1.0,0,0.8,0.081, Semiurban ,N
APP100033,Male,Yes,0,Graduate,No,Salaried,13286.0,3380.0,39.0,36.0,609.0,1.0,0,0.1,0.067,Semiurban,Y
APP100034,Male,Yes,3+,Not Graduate,No,Salaried,5124.0,2799.0,69.0,180.0,562.0,0.0,0,4.0,0.048,Urban,N
APP100035,Male,Yes,3+,Graduate,No,Self-Employed,5020.0,1723.0,128.0,180.0,610.0,1.0,1,6.4,0.118,Rural,Y
APP100036,Male,No,2,Not Graduate,No,Salaried,4201.0,0.0,226.0,120.0,576.0,1.0,0,1.0,0.49,Urban,N
APP100037,Male,Yes,1,Graduate,No,Business Owner,9765.0,1623.0,103.0,180.0,603.0,1.0,0,1.2,0.039,Semiurban,Y
APP100038,Male,No,0,Graduate,No,Salaried,14568.0,0.0,,180.0,613.0,1.0,0,0.3,0.059,Urban,Y
APP100039,Female,No,0,Not Graduate,No,Salaried,6952.0,0.0,98.0,360.0,615.0,0.0,2,5.7,0.033,Semiurban,N
APP100040,Male,Yes,0,Graduate,No,Salaried,7998.0,798.0,112.0,240.0,624.0,0.0,0,3.1,0.045,Semiurban,Y
APP100041,Female,Yes,0,Not Graduate,Yes,Salaried,7009.0,1636.0,193.0,84.0,566.0,1.0,1,4.4,0.337,Semiurban,Y
APP100042,Female,Yes,1,Graduate,No,Self-Employed,9382.0,837.0,208.0,300.0,653.0,0.0,1,0.2,0.067,Urban,Y
APP100043,Male,Yes,1,Graduate,Yes,Salaried,4754.0,506.0,200.0,120.0,569.0,1.0,1,7.4,0.372,Urban,N
APP100044,Female,Yes,0,Graduate,No,Salaried,8602.0,947.0,184.0,36.0,596.0,1.0,0,0.7,0.594,Urban,Y
APP100045,Female,No,0,Not Graduate,No,Unemployed,7006.0,0.0,79.0,60.0,645.0,,0,1.3,0.201,Rural,N
APP100046,Male,Yes,1,Graduate,No,Salaried,9905.0,688.0,295.0,180.0,418.0,1.0,2,0.4,0.139,Urban,N
APP100047,,No,0,Graduate,No,Salaried,9762.0,0.0,281.0,60.0,850.0,1.0,0,1.1,0.466,Rural,Y
APP100048,Female,Yes,3+,Graduate,No,Business Owner,8221.0,3271.0,130.0,300.0,697.0,,1,2.1,0.047,Urban,Y
APP100049,Male,No,1,Not Graduate,No,Self-Employed,6577.0,0.0,222.0,60.0,679.0,1.0,0,3.4,0.505,Rural,Y
APP100050,Male,Yes,0,Not Graduate,No,Salaried,5193.0,1775.0,46.0,120.0,603.0,0.0,0,3.2,0.056,Semiurban,Y
APP100051,Male,Yes,0,Not Graduate,No,Unemployed,9677.0,3103.0,233.0,180.0,658.0,1.0,1,2.7,0.109,Rural,N
APP100052,Female,Yes,1,Graduate,No,Salaried,7383.0,1977.0,150.0,360.0,541.0,0.0,1,0.7,0.042,Semiurban,N
APP100053,Female,Yes,0,Graduate,Yes,Salaried,7322.0,37.0,83.0,36.0,694.0,1.0,0,1.8,0.281,Semiurban,Y
APP100054,Female,No,2,Not Graduate,No,Salaried,6189.0,0.0,239.0,240.0,498.0,1.0,2,1.0,0.157,Semiurban,N
APP100055,Female,Yes,0,Not Graduate,Yes,Unemployed,12399.0,6735.0,278.0,180.0,536.0,0.0,0,0.5,0.078,Urban,N
APP100056,male,Yes,0,Not Graduate,No,Salaried,12634.0,1978.0,51.0,180.0,586.0,,0,3.0,0.02,Rural,Y
APP100057,Male,Yes,0,Not Graduate,No,Business Owner,6374.0,3785.0,200.0,84.0,786.0,1.0,1,1.0,0.244,Semiurban,Y
APP100058,Male,Yes,1,Not Graduate,,Salaried,5457.0,3959.0,237.0,12.0,551.0,1.0,0,0.1,1.5, Urban ,N
APP100059,Male,Yes,3+,Graduate,No,Salaried,6591.0,2762.0,258.0,300.0,680.0,1.0,1,3.2,0.046,Urban,N
APP100060,Female,Yes,2,Graduate,No,Business Owner,5617.0,1832.0,45.0,300.0,464.0,0.0,0,,0.021,Semiurban,N
APP100061,Male,Yes,0,Not Graduate,Yes,Unemployed,8527.0,1006.0,62.0,60.0,652.0,1.0,0,10.0,0.06,Rural,Y
APP100062,male,Yes,2,Graduate,Yes,Salaried,7289.0,694.0,65.0,180.0,806.0,1.0,1,1.9,0.055,Rural,Y
APP100063,Female,Yes,0,Graduate,Yes,Salaried,9493.0,3880.0,190.0,120.0,695.0,1.0,2,2.8,0.108,Urban,Y
APP100064,Female,No,1,Graduate,No,Self-Employed,6403.0,0.0,288.0,60.0,463.0,1.0,1,3.1,0.751, Semiurban ,N
APP100065,Male,Yes,3+,Graduate,No,Salaried,17893.0,2405.0,170.0,180.0,654.0,1.0,0,5.1,0.039,Urban,Y
APP100066,Male,Yes,0,Not Graduate,No,Salaried,4276.0,2752.0,106.0,12.0,608.0,0.0,0,1.0,1.5,Urban,N
APP100067,Male,Yes,3+,Not Graduate,No,Salaried,7190.0,1457.0,273.0,180.0,760.0,0.0,1,0.7,0.23,Rural,Y
APP100068,Male,Yes,0,Graduate,No,Unemployed,16316.0,3437.0,279.0,60.0,641.0,1.0,0,,0.196,Urban,Y
APP100069,male,Yes,0,Graduate,Yes,Salaried,9548.0,2068.0,303.0,120.0,520.0,0.0,0,0.4,0.177, Urban ,N
APP100070,Male,Yes,0,Graduate,No,Salaried,6792.0,1570.0,83.0,120.0,638.0,1.0,0,3.5,0.093,Urban,N
APP100071,Male,Yes,3+,Not Graduate,No,Salaried,8345.0,2429.0,70.0,36.0,587.0,,1,11.3,0.204,Urban,Y
APP100072,Female,Yes,0,Graduate,No,Salaried,4582.0,3511.0,58.0,240.0,456.0,1.0,1,1.9,0.028,Urban,Y
APP100073,Male,Yes,2,Graduate,No,Salaried,7363.0,1525.0,69.0,180.0,634.0,1.0,1,1.4,0.036,Urban,N
APP100074,Male,No,0,Graduate,No,Salaried,4550.0,0.0,49.0,240.0,650.0,0.0,2,1.7,0.055,Semiurban,N
APP100075,Male,Yes,1,Graduate,No,Self-Employed,3743.0,672.0,221.0,300.0,684.0,1.0,0,9.4,0.16,Rural,Y
APP100076,Male,Yes,1,Graduate,No,Salaried,12060.0,2639.0,167.0,120.0,742.0,1.0,1,5.1,0.09,Urban,Y
APP100077,Female,,0,Graduate,No,Salaried,5727.0,1105.0,531.0,180.0,625.0,1.0,0,15.1,0.439,Rural,Y
APP100078,Male,Yes,,Graduate,Yes,Business Owner,4438.0,2099.0,136.0,300.0,,1.0,0,1.3,0.054, Semiurban ,N
APP100079,Female,No,1,Graduate,Yes,Salaried,6448.0,0.0,145.0,120.0,575.0,1.0,0,0.2,0.17, Urban ,Y
APP100080,Female,Yes,0,Graduate,No,Salaried,9303.0,12871.0,37.0,180.0,648.0,,0,3.3,0.02,Urban,Y
APP100081,Male,Yes,0,Graduate,No,Salaried,4558.0,464.0,241.0,180.0,759.0,1.0,0,4.7,0.187,Urban,Y
APP100082,Female,Yes,0,Graduate,No,Salaried,6006.0,877.0,111.0,84.0,650.0,1.0,0,4.1,0.167,Rural,Y
APP100083,Male,Yes,3+,Graduate,No,Business Owner,9765.0,2712.0,84.0,180.0,638.0,0.0,0,6.9,0.037,Semiurban,Y
APP100084,male,No,1,Graduate,No,Self-Employed,7501.0,0.0,162.0,84.0,629.0,1.0,0,1.3,0.226,Urban,Y
APP100085,,Yes,2,Not Graduate,No,Business Owner,12197.0,1406.0,131.0,60.0,649.0,,0,5.2,0.157,Urban,N
APP100086,Female,No,1,Graduate,No,Salaried,9828.0,0.0,159.0,300.0,822.0,1.0,0,3.8,0.045,Urban,Y
APP100087,Male,Yes,2,Graduate,No,Unemployed,8892.0,2772.0,304.0,360.0,642.0,1.0,0,0.7,0.079,Semiurban,Y
APP100088,Male,No,0,Graduate,No,Salaried,9690.0,0.0,94.0,300.0,626.0,,2,3.9,0.037,Urban,N
APP100089,male,Yes,0,Graduate,No,Salaried,4227.0,4271.0,,240.0,653.0,1.0,0,0.7,0.052,Semiurban,Y
APP100090,Male,Yes,1,Graduate,No,Salaried,7153.0,2571.0,209.0,36.0,589.0,0.0,0,2.0,0.61,Semiurban,N
APP100091,Female,No,0,Graduate,No,Salaried,15289.0,0.0,97.0,180.0,509.0,,0,7.2,0.04,Semiurban,N
APP100092,Male,Yes,0,Graduate,No,Salaried,6220.0,3945.0,480.0,360.0,493.0,1.0,1,4.2,0.119, Urban ,N
APP100093,Male,Yes,1,Not Graduate,Yes,Salaried,7203.0,5791.0,127.0,360.0,585.0,0.0,2,2.0,0.024,Semiurban,N
APP100094,Male,No,2,Graduate,No,Self-Employed,5767.0,0.0,167.0,300.0,,0.0,1,3.6,0.095,Semiurban,N
APP100095,,Yes,1,Not Graduate,Yes,Self-Employed,5749.0,1609.0,243.0,240.0,755.0,1.0,1,8.3,0.126,Rural,N
APP100096,Male,No,0,Graduate,No,Self-Employed,10253.0,0.0,148.0,180.0,550.0,1.0,1,1.1,0.097,Semiurban,Y
APP100097,Male,Yes,3+,Graduate,No,Salaried,15001.0,2028.0,131.0,120.0,636.0,0.0,2,5.3,0.083,Semiurban,N
APP100098,Male,No,0,Not Graduate,Yes,Salaried,12868.0,0.0,227.0,180.0,662.0,1.0,0,3.1,0.137,Urban,Y
APP100099,Female,No,,Graduate,,Business Owner,3609.0,0.0,92.0,180.0,,1.0,0,0.6,0.161,Semiurban,Y
APP100100,Female,Yes,3+,Graduate,Yes,Salaried,7019.0,5502.0,164.0,120.0,768.0,1.0,0,,0.115,Semiurban,Y
APP100101,Female,Yes,2,Graduate,No,Salaried,6270.0,1943.0,82.0,180.0,719.0,1.0,0,1.9,0.039,Semiurban,Y
APP100102,Male,Yes,3+,Graduate,No,Salaried,4721.0,2932.0,217.0,360.0,682.0,1.0,1,1.8,0.074,Semiurban,Y
APP100103,,Yes,2,Graduate,No,Salaried,10430.0,1580.0,126.0,84.0,656.0,1.0,0,3.5,0.111,Rural,Y
APP100104,Female,No,1,Graduate,No,Salaried,6444.0,0.0,165.0,60.0,509.0,1.0,3,4.2,0.384,Rural,Y
APP100105,Female,Yes,0,Graduate,No,Self-Employed,4928.0,3494.0,253.0,60.0,772.0,1.0,3,0.9,0.602,Urban,N
APP100106,Male,Yes,0,Graduate,,Business Owner,8370.0,1579.0,87.0,240.0,702.0,1.0,1,5.8,0.044, Urban ,N
APP100107,Male,Yes,3+,Graduate,No,Unemployed,4547.0,3748.0,180.0,360.0,687.0,1.0,1,0.2,0.056,Rural,Y
APP100108,Male,Yes,2,Graduate,No,Salaried,11389.0,2849.0,,300.0,584.0,1.0,0,8.9,0.047,Semiurban,Y
APP100109,Female,No,0,Not Graduate,Yes,Salaried,11755.0,0.0,204.0,120.0,,1.0,0,2.8,0.14,Rural,Y
APP100110,Male,Yes,0,Graduate,,Self-Employed,9611.0,4467.0,125.0,180.0,695.0,1.0,3,1.1,0.036,Semiurban,Y
APP100111,Male,Yes,0,Graduate,No,Salaried,8745.0,1583.0,65.0,36.0,749.0,1.0,0,0.9,0.209,Rural,Y
APP100112,Male,No,0,Not Graduate,No,Salaried,6993.0,0.0,258.0,180.0,805.0,1.0,2,0.5,0.23, Urban ,N
APP100113,Male,No,,Not Graduate,No,Self-Employed,8154.0,0.0,65.0,240.0,584.0,1.0,1,2.2,0.027,Semiurban,N
APP100114,Male,Yes,0,Graduate,No,Salaried,6927.0,1496.0,59.0,300.0,636.0,1.0,0,0.5,0.02,Semiurban,Y
APP100115,Female,No,0,Graduate,No,Salaried,4157.0,0.0,139.0,240.0,462.0,1.0,0,0.1,0.174,Urban,N
APP100116,female,Yes,3+,Graduate,No,Salaried,9423.0,1370.0,99.0,300.0,428.0,1.0,0,1.3,0.034,Urban,N
APP100117,Female,No,0,Not Graduate,Yes,Salaried,12448.0,0.0,172.0,120.0,697.0,0.0,0,0.9,0.147,Urban,Y
APP100118,male,Yes,0,Graduate,No,Salaried,5774.0,2199.0,210.0,36.0,573.0,1.0,0,5.3,0.649,Urban,N
APP100119,Female,Yes,0,Graduate,No,Salaried,10074.0,4319.0,124.0,180.0,472.0,0.0,1,1.2,0.061,Rural,N
APP100120,Female,Yes,0,Graduate,No,Salaried,7283.0,4603.0,389.0,360.0,545.0,1.0,1,2.0,0.078,Rural,Y
APP100121,Female,Yes,0,Graduate,No,Business Owner,5944.0,856.0,89.0,360.0,681.0,1.0,1,2.2,0.037,Rural,Y
APP100122,Male,Yes,0,Graduate,No,Business Owner,3346.0,1448.0,54.0,360.0,685.0,1.0,0,4.2,0.023,Rural,Y
APP100123,male,Yes,0,Not Graduate,No,Business Owner,9548.0,3079.0,137.0,240.0,503.0,1.0,1,4.1,0.042,Rural,Y
APP100124,Male,Yes,0,Graduate,No,Business Owner,8777.0,1307.0,144.0,360.0,761.0,,0,1.3,0.041,Rural,N
APP100125,Male,Yes,0,Graduate,No,Salaried,4891.0,1425.0,187.0,180.0,587.0,1.0,1,2.9,0.155,Urban,N
APP100126,Male,Yes,0,Not Graduate,No,Salaried,6579.0,1901.0,114.0,120.0,675.0,1.0,1,4.6,0.123,Urban,Y
APP100127,Male,Yes,3+,Graduate,No,Salaried,7261.0,2986.0,64.0,240.0,653.0,0.0,1,1.7,0.023,Rural,Y
APP100128,Male,No,0,Graduate,Yes,Salaried,8318.0,0.0,147.0,180.0,649.0,0.0,1,6.6,0.099,Semiurban,N
APP100129,female,No,0,Graduate,Yes,Self-Employed,10910.0,0.0,172.0,240.0,566.0,0.0,0,0.6,0.063,Semiurban,N
APP100130,male,Yes,2,Not Graduate,No,Salaried,6830.0,2185.0,153.0,120.0,648.0,1.0,0,8.4,0.135,Semiurban,Y
APP100131,Female,Yes,0,Graduate,No,Unemployed,3937.0,2409.0,175.0,360.0,,1.0,1,6.8,0.086,Urban,Y
APP100132,Female,Yes,0,Not Graduate,No,Salaried,7397.0,1952.0,162.0,360.0,632.0,1.0,0,0.3,0.043,Urban,N
APP100133,Male,Yes,2,Graduate,No,Salaried,6222.0,2596.0,153.0,300.0,659.0,1.0,1,4.9,0.057,Semiurban,Y
APP100134,Female,No,1,Graduate,No,Business Owner,5403.0,0.0,106.0,36.0,749.0,0.0,0,0.8,0.509,Semiurban,Y
APP100135,Male,Yes,0,Graduate,No,Salaried,10222.0,2685.0,103.0,84.0,608.0,1.0,0,0.7,0.118,Urban,Y
APP100136,Female,Yes,1,Graduate,Yes,Self-Employed,5195.0,1283.0,313.0,360.0,709.0,1.0,1,2.2,0.134,Semiurban,N
APP100137,Male,Yes,1,Graduate,Yes,Self-Employed,4397.0,4098.0,85.0,300.0,631.0,1.0,0,5.1,0.033,Semiurban,Y
APP100138,,Yes,0,Graduate,No,Business Owner,6045.0,2037.0,317.0,84.0,778.0,1.0,0,6.2,0.45,Semiurban,N
APP100139,,No,0,Graduate,No,Business Owner,7200.0,0.0,97.0,180.0,523.0,1.0,0,1.0,0.08,Semiurban,N
APP100140,Male,Yes,0,Graduate,No,Salaried,7575.0,4053.0,275.0,12.0,767.0,1.0,0,1.5,1.5,Semiurban,N
APP100141,male,Yes,,Not Graduate,,Salaried,11461.0,2454.0,215.0,300.0,602.0,1.0,2,2.2,0.048,Rural,Y
APP100142,Female,Yes,0,Graduate,No,Business Owner,5629.0,3161.0,191.0,180.0,840.0,1.0,1,0.8,0.113,Semiurban,Y
APP100143,Male,No,0,Graduate,No,Salaried,9585.0,0.0,32.0,180.0,689.0,1.0,1,14.3,0.02,Rural,Y
APP100144,Male,Yes,0,Graduate,Yes,Self-Employed,6051.0,871.0,105.0,60.0,727.0,1.0,0,5.3,0.294,Rural,N
APP100145,Male,No,3+,Graduate,No,Salaried,3506.0,0.0,159.0,36.0,636.0,1.0,0,9.6,1.201,Rural,Y
APP100146,Male,No,0,Not Graduate,No,Salaried,11008.0,0.0,224.0,360.0,711.0,1.0,0,11.8,0.045,Semiurban,Y
APP100147,Male,Yes,0,Not Graduate,No,Salaried,4145.0,1941.0,136.0,240.0,711.0,1.0,0,3.2,0.072,Semiurban,N
APP100148,Male,No,0,Graduate,Yes,Unemployed,7983.0,0.0,70.0,84.0,637.0,1.0,0,3.6,0.15,Semiurban,Y
APP100149,Male,Yes,1,Not Graduate,No,Salaried,4314.0,2424.0,142.0,12.0,719.0,1.0,2,2.5,1.5,Semiurban,N
APP100150,Female,No,0,Graduate,No,Salaried,8599.0,0.0,175.0,240.0,348.0,1.0,0,1.4,0.109,Urban,Y
APP100151,Female,Yes,,Not Graduate,No,Salaried,4665.0,5009.0,126.0,360.0,592.0,1.0,0,7.7,0.035,Urban,Y
APP100152,male,Yes,0,Not Graduate,No,Salaried,3872.0,2194.0,302.0,180.0,652.0,0.0,1,,0.237,Urban,N
APP100153,,Yes,0,Graduate,No,Salaried,6629.0,3481.0,147.0,240.0,695.0,0.0,0,1.1,0.06,Semiurban,Y
APP100154,Male,Yes,0,Graduate,No,Self-Employed,3148.0,2026.0,232.0,360.0,737.0,1.0,0,2.2,0.136,Urban,Y
APP100155,Female,Yes,0,Not Graduate,No,Salaried,6859.0,5068.0,105.0,180.0,627.0,1.0,0,5.1,0.047,Semiurban,Y
APP100156,Male,Yes,0,Graduate,Yes,Salaried,9567.0,3082.0,203.0,300.0,615.0,1.0,0,4.0,0.049,Urban,Y
APP100157,Female,Yes,2,Graduate,No,Salaried,15221.0,2457.0,96.0,120.0,728.0,1.0,2,3.7,0.035,Urban,Y
APP100158,Female,Yes,0,Graduate,No,Salaried,7729.0,1386.0,206.0,12.0,754.0,0.0,0,2.7,1.5,Semiurban,Y
APP100159,Female,Yes,1,Graduate,No,Business Owner,7046.0,5136.0,125.0,360.0,717.0,0.0,2,1.4,0.03,Rural,N
APP100160,Male,No,0,Graduate,No,Business Owner,11184.0,0.0,71.0,360.0,636.0,1.0,1,2.3,0.02,Urban,Y
APP100161,Female,No,1,Graduate,Yes,Self-Employed,4523.0,0.0,115.0,36.0,850.0,,0,1.5,0.66,Rural,N
APP100162,Male,Yes,0,Graduate,No,Business Owner,5221.0,686.0,88.0,240.0,657.0,1.0,1,2.1,0.065,Urban,N
APP100163,Male,Yes,0,Graduate,No,Salaried,9471.0,1775.0,119.0,240.0,669.0,1.0,0,3.4,0.052,Semiurban,Y
APP100164,Male,Yes,0,Graduate,No,Business Owner,5987.0,1102.0,72.0,360.0,797.0,1.0,2,2.3,0.024,Urban,Y
APP100165,Male,No,3+,Graduate,No,Salaried,6422.0,0.0,65.0,240.0,788.0,1.0,1,7.1,0.055,Urban,Y
APP100166,Female,Yes,3+,Graduate,Yes,Self-Employed,7374.0,3350.0,85.0,300.0,714.0,1.0,1,2.5,0.028,Urban,Y
APP100167,Female,No,2,Graduate,No,Self-Employed,4723.0,0.0,51.0,240.0,569.0,1.0,0,1.8,0.037,Urban,N
APP100168,Male,Yes,2,Graduate,No,Salaried,3908.0,631.0,249.0,120.0,660.0,1.0,0,1.0,0.467,Semiurban,N
APP100169,Female,Yes,0,Graduate,No,Salaried,5105.0,829.0,140.0,60.0,,1.0,0,2.7,0.351, Semiurban ,Y
APP100170,Male,No,0,Graduate,No,Salaried,6215.0,0.0,149.0,360.0,826.0,0.0,0,0.2,0.051,Urban,Y
APP100171,Male,Yes,0,Graduate,No,Salaried,8602.0,2363.0,121.0,360.0,850.0,0.0,0,5.8,0.03,Rural,Y
APP100172,Male,No,2,Graduate,No,Salaried,7161.0,0.0,78.0,12.0,596.0,1.0,0,22.9,0.889,Semiurban,Y
APP100173,Female,Yes,0,Not Graduate,No,Unemployed,9339.0,2032.0,175.0,240.0,727.0,1.0,0,0.1,0.067,Urban,Y
APP100174,Male,Yes,0,Graduate,No,Salaried,7118.0,617.0,164.0,36.0,577.0,1.0,1,5.6,0.505,Semiurban,Y
APP100175,Male,Yes,1,Not Graduate,No,Salaried,9902.0,2546.0,80.0,240.0,639.0,1.0,0,2.2,0.023,Urban,Y
APP100176,male,Yes,0,Graduate,No,Salaried,6448.0,1572.0,208.0,84.0,572.0,,0,0.6,0.352,Rural,N
APP100177,Female,Yes,1,Graduate,No,Salaried,3254.0,1589.0,73.0,360.0,800.0,0.0,3,9.5,0.047,Semiurban,Y
APP100178,Female,Yes,,Graduate,No,Salaried,5587.0,2349.0,146.0,240.0,671.0,1.0,1,0.7,0.062,Urban,Y
APP100179,Female,Yes,1,Graduate,No,Salaried,7453.0,2934.0,225.0,240.0,,1.0,0,13.4,0.068,Urban,Y
APP100180,Female,No,2,Graduate,Yes,Salaried,8981.0,0.0,273.0,84.0,654.0,1.0,1,6.3,0.301,Urban,Y
APP100181,Female,Yes,1,Not Graduate,No,Salaried,5800.0,4098.0,126.0,84.0,684.0,1.0,2,0.0,0.177,Semiurban,N
APP100182,Male,Yes,0,Not Graduate,No,Salaried,7765.0,3474.0,91.0,180.0,687.0,,0,2.7,0.025,Semiurban,Y
APP100183,Male,No,0,Graduate,,Salaried,6096.0,0.0,60.0,60.0,588.0,1.0,0,4.7,0.15,Rural,Y
APP100184,Female,Yes,0,Not Graduate,,Business Owner,5248.0,793.0,116.0,120.0,498.0,1.0,0,6.6,0.182,Urban,N
APP100185,Female,No,0,Graduate,No,Business Owner,8983.0,0.0,113.0,360.0,531.0,1.0,1,17.3,0.036,Urban,Y
APP100186,Male,Yes,1,Graduate,Yes,Salaried,8296.0,1930.0,232.0,180.0,505.0,1.0,0,6.4,0.123,Urban,Y
APP100187,Male,Yes,0,Not Graduate,No,Self-Employed,17379.0,4062.0,148.0,120.0,668.0,0.0,0,1.3,0.065,Urban,Y
APP100188,Female,No,0,Graduate,No,Business Owner,5804.0,0.0,71.0,360.0,577.0,1.0,2,3.4,0.033,Semiurban,N
APP100189,male,Yes,0,Graduate,No,Salaried,11644.0,1831.0,207.0,240.0,738.0,1.0,1,13.1,0.059,Rural,Y
APP100190,Female,Yes,3+,Graduate,,Salaried,4146.0,1371.0,227.0,180.0,672.0,1.0,2,1.1,0.254,Semiurban,Y
APP100191,Male,No,0,Graduate,No,Salaried,11647.0,0.0,157.0,300.0,485.0,1.0,0,8.0,0.058,Urban,Y
APP100192,Male,Yes,0,Graduate,No,Salaried,7180.0,4571.0,210.0,84.0,613.0,1.0,1,9.2,0.14,Rural,Y
APP100193,Female,No,0,Graduate,No,Business Owner,6218.0,0.0,137.0,60.0,459.0,1.0,0,3.6,0.324,Rural,Y
APP100194,Male,No,0,Graduate,No,Business Owner,8312.0,0.0,199.0,84.0,547.0,1.0,0,3.8,0.272,Urban,N
APP100195,Male,No,3+,Graduate,No,Salaried,8558.0,0.0,105.0,120.0,606.0,1.0,2,0.9,0.094,Rural,Y
APP100196,Female,Yes,0,Not Graduate,No,Salaried,11052.0,2223.0,33.0,360.0,565.0,1.0,1,0.7,0.02,Semiurban,N
APP100197,female,Yes,1,Graduate,Yes,Business Owner,4976.0,2547.0,277.0,360.0,820.0,0.0,0,3.6,0.102,Rural,N
