Applicant_ID,Gender,Married,Education,Employment_Status,Property_Area,ApplicantIncome,CoapplicantIncome,Total_Income,Income_Bracket,LoanAmount_INR,Loan_Amount_Term,EMI,Balance_Income,Credit_Score,Credit_Score_Band,Credit_History,Debt_To_Income_Ratio,Existing_Loans_Count,Years_At_Current_Job,Risk_Category,Loan_Status,Predicted_Loan_Status,Max_Eligible_Amount_INR,Approved_Amount_INR,Final_Decision,Decision_Reason
APP100012,Female,Yes,Not Graduate,Business Owner,Rural,4421.0,1302.0,5723.0,3K-6K,224000,240,2161.65,3561.35,702,Good,1,0.189,0,5.7,Low Risk,Approved,Approved,266900,224000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100013,Female,No,Not Graduate,Salaried,Urban,5866.0,0.0,5866.0,3K-6K,139000,120,1836.9,4029.1,553,Poor,1,0.067,2,1.1,High Risk,Approved,Rejected,44400,0,Rejected,"Low credit score (553), below the minimum threshold of 580; Requested amount (₹1,39,000) exceeds the maximum eligible amount (₹44,400) based on income and repayment capacity"
APP100014,Male,Yes,Graduate,Salaried,Semiurban,13042.0,2143.0,15185.0,10K-20K,100000,84,1660.12,13524.88,513,Poor,1,0.081,1,5.8,High Risk,Approved,Approved,137200,100000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100015,Male,Yes,Not Graduate,Self-Employed,Semiurban,8591.0,1311.0,9902.0,6K-10K,130000,60,2762.12,7139.88,596,Fair,1,0.267,0,12.4,Medium Risk,Approved,Approved,163100,130000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100016,Male,Yes,Graduate,Self-Employed,Urban,7513.0,1418.0,8931.0,6K-10K,100000,36,3226.72,5704.28,622,Fair,1,0.291,0,1.3,Medium Risk,Approved,Approved,96900,96900,Partially Approved,"Approved for a reduced amount due to income-based affordability limits (requested ₹1,00,000, max eligible ₹96,900)"
APP100017,Male,Yes,Not Graduate,Salaried,Urban,8360.0,1709.0,10069.0,10K-20K,151000,360,1325.13,8743.87,699,Good,1,0.039,1,0.4,Low Risk,Approved,Approved,458900,151000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100018,Female,Yes,Graduate,Salaried,Semiurban,13495.0,6058.0,19553.0,10K-20K,131000,120,1731.17,17821.83,551,Poor,1,0.059,3,1.4,High Risk,Rejected,Approved,148000,131000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100019,Male,Yes,Graduate,Business Owner,Semiurban,7705.0,1929.0,9634.0,6K-10K,72000,84,1195.29,8438.71,786,Very Good,1,0.087,0,8.2,Low Risk,Approved,Approved,290200,72000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100020,Female,No,Not Graduate,Business Owner,Semiurban,10777.0,0.0,10777.0,10K-20K,188000,60,3994.44,6782.56,563,Poor,1,0.401,0,20.4,High Risk,Approved,Approved,101400,101400,Partially Approved,"Approved for a reduced amount due to income-based affordability limits (requested ₹1,88,000, max eligible ₹1,01,400)"
APP100021,Male,No,Not Graduate,Salaried,Urban,10911.0,0.0,10911.0,10K-20K,82000,84,1361.3,9549.7,642,Fair,0,0.109,0,3.1,High Risk,Approved,Rejected,115000,0,Rejected,No established credit history
APP100022,Female,No,Graduate,Business Owner,Urban,10331.0,0.0,10331.0,10K-20K,153000,180,1644.15,8686.85,651,Fair,1,0.11,2,0.8,Medium Risk,Rejected,Approved,240300,153000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100023,Female,Yes,Graduate,Salaried,Rural,17311.0,4420.0,21731.0,20K+,77000,84,1278.29,20452.71,677,Good,1,0.05,0,11.4,Low Risk,Approved,Approved,589100,77000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100024,Female,Yes,Not Graduate,Self-Employed,Urban,9220.0,2942.0,12162.0,10K-20K,152000,84,2523.38,9638.62,691,Good,1,0.155,0,2.1,Low Risk,Rejected,Approved,329700,152000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100025,Male,Yes,Graduate,Salaried,Rural,10496.0,709.0,11205.0,10K-20K,130000,360,1140.84,10064.16,850,Excellent,1,0.023,0,9.6,Low Risk,Approved,Approved,702300,130000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100026,Male,Yes,Graduate,Business Owner,Semiurban,5906.0,2925.0,8831.0,6K-10K,140000,180,1504.45,7326.55,596,Fair,1,0.093,0,0.1,Medium Risk,Approved,Approved,287600,140000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100027,Male,Yes,Graduate,Self-Employed,Semiurban,7292.0,2178.0,9470.0,6K-10K,157000,60,3335.79,6134.21,678,Good,1,0.232,0,2.0,Low Risk,Rejected,Approved,200600,157000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100028,Male,Yes,Graduate,Salaried,Urban,7155.0,2601.0,9756.0,6K-10K,212000,300,1926.45,7829.55,642,Fair,1,0.056,0,4.3,Medium Risk,Approved,Approved,375800,212000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100029,Female,Yes,Graduate,Salaried,Rural,5128.0,3616.0,8744.0,6K-10K,110000,36,3549.39,5194.61,738,Good,1,0.414,0,6.9,Medium Risk,Rejected,Approved,121900,110000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100030,Female,Yes,Not Graduate,Business Owner,Rural,5329.0,910.0,6239.0,6K-10K,70000,180,752.22,5486.78,690,Good,1,0.079,0,5.1,Low Risk,Approved,Approved,261300,70000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100031,Female,No,Graduate,Salaried,Semiurban,7111.0,0.0,7111.0,6K-10K,125000,120,1651.88,5459.12,670,Good,1,0.132,0,10.4,Low Risk,Approved,Approved,242100,125000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100032,Male,Yes,Graduate,Self-Employed,Semiurban,7853.0,2515.0,10368.0,10K-20K,216000,240,2084.45,8283.55,516,Poor,1,0.081,0,0.8,High Risk,Rejected,Rejected,214900,0,Rejected,"Low credit score (516), below the minimum threshold of 580; Requested amount (₹2,16,000) exceeds the maximum eligible amount (₹2,14,900) based on income and repayment capacity"
APP100033,Male,Yes,Graduate,Salaried,Semiurban,13286.0,3380.0,16666.0,10K-20K,39000,36,1258.42,15407.58,609,Fair,1,0.067,0,0.1,Medium Risk,Approved,Approved,180800,39000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100034,Male,Yes,Not Graduate,Salaried,Urban,5124.0,2799.0,7923.0,6K-10K,69000,180,741.48,7181.52,562,Poor,0,0.048,0,4.0,High Risk,Rejected,Rejected,73700,0,Rejected,"No established credit history; Low credit score (562), below the minimum threshold of 580"
APP100035,Male,Yes,Graduate,Self-Employed,Rural,5020.0,1723.0,6743.0,6K-10K,128000,180,1375.49,5367.51,610,Fair,1,0.118,1,6.4,Medium Risk,Approved,Approved,188200,128000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100036,Male,No,Not Graduate,Salaried,Urban,4201.0,0.0,4201.0,3K-6K,226000,120,2986.61,1214.39,576,Poor,1,0.49,0,1.0,High Risk,Rejected,Rejected,63600,0,Rejected,"Low credit score (576), below the minimum threshold of 580; High debt-to-income ratio (49%); Requested amount (₹2,26,000) exceeds the maximum eligible amount (₹63,600) based on income and repayment capacity"
APP100037,Male,Yes,Graduate,Business Owner,Semiurban,9765.0,1623.0,11388.0,10K-20K,103000,180,1106.84,10281.16,603,Fair,1,0.039,0,1.2,Medium Risk,Approved,Approved,370900,103000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100038,Male,No,Graduate,Salaried,Urban,14568.0,0.0,14568.0,10K-20K,139000,180,1493.7,13074.3,613,Fair,1,0.059,0,0.3,Medium Risk,Approved,Approved,474500,139000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100039,Female,No,Not Graduate,Salaried,Semiurban,6952.0,0.0,6952.0,6K-10K,98000,360,860.02,6091.98,615,Fair,0,0.033,2,5.7,High Risk,Rejected,Rejected,79200,0,Rejected,"No established credit history; Requested amount (₹98,000) exceeds the maximum eligible amount (₹79,200) based on income and repayment capacity"
APP100040,Male,Yes,Graduate,Salaried,Semiurban,7998.0,798.0,8796.0,6K-10K,112000,240,1080.82,7715.18,624,Fair,0,0.045,0,3.1,High Risk,Approved,Rejected,159500,0,Rejected,No established credit history
APP100041,Female,Yes,Not Graduate,Salaried,Semiurban,7009.0,1636.0,8645.0,6K-10K,193000,84,3204.03,5440.97,566,Poor,1,0.337,1,4.4,High Risk,Approved,Rejected,78100,0,Rejected,"Low credit score (566), below the minimum threshold of 580; Requested amount (₹1,93,000) exceeds the maximum eligible amount (₹78,100) based on income and repayment capacity"
APP100042,Female,Yes,Graduate,Self-Employed,Urban,9382.0,837.0,10219.0,10K-20K,208000,300,1890.1,8328.9,653,Fair,0,0.067,1,0.2,High Risk,Approved,Rejected,140600,0,Rejected,"No established credit history; Requested amount (₹2,08,000) exceeds the maximum eligible amount (₹1,40,600) based on income and repayment capacity"
APP100043,Male,Yes,Graduate,Salaried,Urban,4754.0,506.0,5260.0,3K-6K,200000,120,2643.01,2616.99,569,Poor,1,0.372,1,7.4,High Risk,Rejected,Rejected,59700,0,Rejected,"Low credit score (569), below the minimum threshold of 580; Requested amount (₹2,00,000) exceeds the maximum eligible amount (₹59,700) based on income and repayment capacity"
APP100044,Female,Yes,Graduate,Salaried,Urban,8602.0,947.0,9549.0,6K-10K,184000,36,5937.16,3611.84,596,Fair,1,0.594,0,0.7,High Risk,Approved,Rejected,103600,0,Rejected,"High debt-to-income ratio (59%); Requested amount (₹1,84,000) exceeds the maximum eligible amount (₹1,03,600) based on income and repayment capacity"
APP100045,Female,No,Not Graduate,Unemployed,Rural,7006.0,0.0,7006.0,6K-10K,79000,60,1678.52,5327.48,645,Fair,1,0.201,0,1.3,Medium Risk,Rejected,Approved,115400,79000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100046,Male,Yes,Graduate,Salaried,Urban,9905.0,688.0,10593.0,10K-20K,295000,180,3170.09,7422.91,418,Poor,1,0.139,2,0.4,High Risk,Rejected,Rejected,98600,0,Rejected,"Low credit score (418), below the minimum threshold of 580; Requested amount (₹2,95,000) exceeds the maximum eligible amount (₹98,600) based on income and repayment capacity"
APP100047,Male,No,Graduate,Salaried,Rural,9762.0,0.0,9762.0,6K-10K,281000,60,5970.42,3791.58,850,Excellent,1,0.466,0,1.1,High Risk,Approved,Approved,252700,252700,Partially Approved,"Approved for a reduced amount due to income-based affordability limits (requested ₹2,81,000, max eligible ₹2,52,700)"
APP100048,Female,Yes,Graduate,Business Owner,Urban,8221.0,3271.0,11492.0,10K-20K,130000,300,1181.31,10310.69,697,Good,1,0.047,1,2.1,Low Risk,Approved,Approved,505900,130000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100049,Male,No,Not Graduate,Self-Employed,Rural,6577.0,0.0,6577.0,6K-10K,222000,60,4716.84,1860.16,679,Good,1,0.505,0,3.4,High Risk,Approved,Rejected,139300,0,Rejected,"High debt-to-income ratio (50%); Requested amount (₹2,22,000) exceeds the maximum eligible amount (₹1,39,300) based on income and repayment capacity"
APP100050,Male,Yes,Not Graduate,Salaried,Semiurban,5193.0,1775.0,6968.0,6K-10K,46000,120,607.89,6360.11,603,Fair,0,0.056,0,3.2,High Risk,Approved,Rejected,92300,0,Rejected,No established credit history
APP100051,Male,Yes,Not Graduate,Unemployed,Rural,9677.0,3103.0,12780.0,10K-20K,233000,180,2503.83,10276.17,658,Fair,1,0.109,1,2.7,Medium Risk,Rejected,Approved,356800,233000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100052,Female,Yes,Graduate,Salaried,Semiurban,7383.0,1977.0,9360.0,6K-10K,150000,360,1316.36,8043.64,541,Poor,0,0.042,1,0.7,High Risk,Rejected,Rejected,106700,0,Rejected,"No established credit history; Low credit score (541), below the minimum threshold of 580; Requested amount (₹1,50,000) exceeds the maximum eligible amount (₹1,06,700) based on income and repayment capacity"
APP100053,Female,Yes,Graduate,Salaried,Semiurban,7322.0,37.0,7359.0,6K-10K,83000,36,2678.18,4680.82,694,Good,1,0.281,0,1.8,Low Risk,Approved,Approved,102600,83000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100054,Female,No,Not Graduate,Salaried,Semiurban,6189.0,0.0,6189.0,6K-10K,239000,240,2306.4,3882.6,498,Poor,1,0.157,2,1.0,High Risk,Rejected,Rejected,64100,0,Rejected,"Low credit score (498), below the minimum threshold of 580; Requested amount (₹2,39,000) exceeds the maximum eligible amount (₹64,100) based on income and repayment capacity"
APP100055,Female,Yes,Not Graduate,Unemployed,Urban,12399.0,6735.0,19134.0,10K-20K,278000,180,2987.4,16146.6,536,Poor,0,0.078,0,0.5,High Risk,Rejected,Rejected,178100,0,Rejected,"No established credit history; Low credit score (536), below the minimum threshold of 580; Applicant is currently unemployed; Requested amount (₹2,78,000) exceeds the maximum eligible amount (₹1,78,100) based on income and repayment capacity"
APP100056,Male,Yes,Not Graduate,Salaried,Rural,12634.0,1978.0,14612.0,10K-20K,51000,180,548.05,14063.95,586,Fair,1,0.02,0,3.0,Medium Risk,Approved,Approved,475900,51000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100057,Male,Yes,Not Graduate,Business Owner,Semiurban,6374.0,3785.0,10159.0,10K-20K,200000,84,3320.24,6838.76,786,Very Good,1,0.244,1,1.0,Low Risk,Approved,Approved,275400,200000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100058,Male,Yes,Not Graduate,Salaried,Urban,5457.0,3959.0,9416.0,6K-10K,237000,12,20836.07,-11420.07,551,Poor,1,1.5,0,0.1,High Risk,Rejected,Rejected,21400,0,Rejected,"Low credit score (551), below the minimum threshold of 580; High debt-to-income ratio (150%); Estimated loan installment exceeds the applicant's disposable income; Requested amount (₹2,37,000) exceeds the maximum eligible amount (₹21,400) based on income and repayment capacity"
APP100059,Male,Yes,Graduate,Salaried,Urban,6591.0,2762.0,9353.0,6K-10K,258000,300,2344.45,7008.55,680,Good,1,0.046,1,3.2,Low Risk,Rejected,Approved,411700,258000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100060,Female,Yes,Graduate,Business Owner,Semiurban,5617.0,1832.0,7449.0,6K-10K,45000,300,408.92,7040.08,464,Poor,0,0.021,0,2.7,High Risk,Rejected,Rejected,82000,0,Rejected,"No established credit history; Low credit score (464), below the minimum threshold of 580"
APP100061,Male,Yes,Not Graduate,Unemployed,Rural,8527.0,1006.0,9533.0,6K-10K,62000,60,1317.32,8215.68,652,Fair,1,0.06,0,10.0,Medium Risk,Approved,Approved,157000,62000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100062,Male,Yes,Graduate,Salaried,Rural,7289.0,694.0,7983.0,6K-10K,65000,180,698.49,7284.51,806,Excellent,1,0.055,1,1.9,Low Risk,Approved,Approved,371400,65000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100063,Female,Yes,Graduate,Salaried,Urban,9493.0,3880.0,13373.0,10K-20K,190000,120,2510.86,10862.14,695,Good,1,0.108,2,2.8,Low Risk,Approved,Approved,354200,190000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100064,Female,No,Graduate,Self-Employed,Semiurban,6403.0,0.0,6403.0,6K-10K,288000,60,6119.15,283.85,463,Poor,1,0.751,1,3.1,High Risk,Rejected,Rejected,45200,0,Rejected,"Low credit score (463), below the minimum threshold of 580; High debt-to-income ratio (75%); Requested amount (₹2,88,000) exceeds the maximum eligible amount (₹45,200) based on income and repayment capacity"
APP100065,Male,Yes,Graduate,Salaried,Urban,17893.0,2405.0,20298.0,20K+,170000,180,1826.83,18471.17,654,Fair,1,0.039,0,5.1,Medium Risk,Approved,Approved,661100,170000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100066,Male,Yes,Not Graduate,Salaried,Urban,4276.0,2752.0,7028.0,6K-10K,106000,12,9319.08,-2291.08,608,Fair,0,1.5,0,1.0,High Risk,Rejected,Rejected,14000,0,Rejected,"No established credit history; High debt-to-income ratio (150%); Estimated loan installment exceeds the applicant's disposable income; Requested amount (₹1,06,000) exceeds the maximum eligible amount (₹14,000) based on income and repayment capacity"
APP100067,Male,Yes,Not Graduate,Salaried,Rural,7190.0,1457.0,8647.0,6K-10K,273000,180,2933.67,5713.33,760,Very Good,0,0.23,1,0.7,High Risk,Approved,Rejected,160900,0,Rejected,"No established credit history; Requested amount (₹2,73,000) exceeds the maximum eligible amount (₹1,60,900) based on income and repayment capacity"
APP100068,Male,Yes,Graduate,Unemployed,Urban,16316.0,3437.0,19753.0,10K-20K,279000,60,5927.93,13825.07,641,Fair,1,0.196,0,2.7,Medium Risk,Approved,Approved,325400,279000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100069,Male,Yes,Graduate,Salaried,Urban,9548.0,2068.0,11616.0,10K-20K,303000,120,4004.17,7611.83,520,Poor,0,0.177,0,0.4,High Risk,Rejected,Rejected,87900,0,Rejected,"No established credit history; Low credit score (520), below the minimum threshold of 580; Requested amount (₹3,03,000) exceeds the maximum eligible amount (₹87,900) based on income and repayment capacity"
APP100070,Male,Yes,Graduate,Salaried,Urban,6792.0,1570.0,8362.0,6K-10K,83000,120,1096.85,7265.15,638,Fair,1,0.093,0,3.5,Medium Risk,Rejected,Approved,221500,83000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100071,Male,Yes,Not Graduate,Salaried,Urban,8345.0,2429.0,10774.0,10K-20K,70000,36,2258.7,8515.3,587,Fair,1,0.204,1,11.3,Medium Risk,Approved,Approved,100200,70000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100072,Female,Yes,Graduate,Salaried,Urban,4582.0,3511.0,8093.0,6K-10K,58000,240,559.71,7533.29,456,Poor,1,0.028,1,1.9,High Risk,Approved,Approved,125800,58000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100073,Male,Yes,Graduate,Salaried,Urban,7363.0,1525.0,8888.0,6K-10K,69000,180,741.48,8146.52,634,Fair,1,0.036,1,1.4,Medium Risk,Rejected,Approved,248100,69000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100074,Male,No,Graduate,Salaried,Semiurban,4550.0,0.0,4550.0,3K-6K,49000,240,472.86,4077.14,650,Fair,0,0.055,2,1.7,High Risk,Rejected,Rejected,47100,0,Rejected,"No established credit history; Requested amount (₹49,000) exceeds the maximum eligible amount (₹47,100) based on income and repayment capacity"
APP100075,Male,Yes,Graduate,Self-Employed,Rural,3743.0,672.0,4415.0,3K-6K,221000,300,2008.23,2406.77,684,Good,1,0.16,0,9.4,Low Risk,Approved,Approved,218600,218600,Partially Approved,"Approved for a reduced amount due to income-based affordability limits (requested ₹2,21,000, max eligible ₹2,18,600)"
APP100076,Male,Yes,Graduate,Salaried,Urban,12060.0,2639.0,14699.0,10K-20K,167000,120,2206.92,12492.08,742,Very Good,1,0.09,1,5.1,Low Risk,Approved,Approved,500500,167000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100077,Female,Yes,Graduate,Salaried,Rural,5727.0,1105.0,6832.0,6K-10K,531000,180,5706.15,1125.85,625,Fair,1,0.439,0,15.1,Medium Risk,Approved,Approved,222500,222500,Partially Approved,"Approved for a reduced amount due to income-based affordability limits (requested ₹5,31,000, max eligible ₹2,22,500)"
APP100078,Male,Yes,Graduate,Business Owner,Semiurban,4438.0,2099.0,6537.0,6K-10K,136000,300,1235.83,5301.17,650,Fair,1,0.054,0,1.3,Medium Risk,Rejected,Approved,251800,136000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100079,Female,No,Graduate,Salaried,Urban,6448.0,0.0,6448.0,6K-10K,145000,120,1916.19,4531.81,575,Poor,1,0.17,0,0.2,High Risk,Approved,Rejected,97600,0,Rejected,"Low credit score (575), below the minimum threshold of 580; Requested amount (₹1,45,000) exceeds the maximum eligible amount (₹97,600) based on income and repayment capacity"
APP100080,Female,Yes,Graduate,Salaried,Urban,9303.0,12871.0,22174.0,20K+,37000,180,397.6,21776.4,648,Fair,1,0.02,0,3.3,Medium Risk,Approved,Approved,722200,37000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100081,Male,Yes,Graduate,Salaried,Urban,4558.0,464.0,5022.0,3K-6K,241000,180,2589.8,2432.2,759,Very Good,1,0.187,0,4.7,Low Risk,Approved,Approved,233700,233700,Partially Approved,"Approved for a reduced amount due to income-based affordability limits (requested ₹2,41,000, max eligible ₹2,33,700)"
APP100082,Female,Yes,Graduate,Salaried,Rural,6006.0,877.0,6883.0,6K-10K,111000,84,1842.73,5040.27,650,Fair,1,0.167,0,4.1,Medium Risk,Approved,Approved,145100,111000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100083,Male,Yes,Graduate,Business Owner,Semiurban,9765.0,2712.0,12477.0,10K-20K,84000,180,902.67,11574.33,638,Fair,0,0.037,0,6.9,High Risk,Approved,Approved,203200,84000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100084,Male,No,Graduate,Self-Employed,Urban,7501.0,0.0,7501.0,6K-10K,162000,84,2689.39,4811.61,629,Fair,1,0.226,0,1.3,Medium Risk,Approved,Approved,158100,158100,Partially Approved,"Approved for a reduced amount due to income-based affordability limits (requested ₹1,62,000, max eligible ₹1,58,100)"
APP100085,Male,Yes,Not Graduate,Business Owner,Urban,12197.0,1406.0,13603.0,10K-20K,131000,60,2783.36,10819.64,649,Fair,1,0.157,0,5.2,Medium Risk,Rejected,Approved,224100,131000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100086,Female,No,Graduate,Salaried,Urban,9828.0,0.0,9828.0,6K-10K,159000,300,1444.83,8383.17,822,Excellent,1,0.045,0,3.8,Low Risk,Approved,Approved,594800,159000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100087,Male,Yes,Graduate,Unemployed,Semiurban,8892.0,2772.0,11664.0,10K-20K,304000,360,2667.82,8996.18,642,Fair,1,0.079,0,0.7,Medium Risk,Approved,Approved,465200,304000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100088,Male,No,Graduate,Salaried,Urban,9690.0,0.0,9690.0,6K-10K,94000,300,854.18,8835.82,626,Fair,1,0.037,2,3.9,Medium Risk,Rejected,Approved,266600,94000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100089,Male,Yes,Graduate,Salaried,Semiurban,4227.0,4271.0,8498.0,6K-10K,139000,240,1341.38,7156.62,653,Fair,1,0.052,0,0.7,Medium Risk,Approved,Approved,308200,139000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100090,Male,Yes,Graduate,Salaried,Semiurban,7153.0,2571.0,9724.0,6K-10K,209000,36,6743.84,2980.16,589,Fair,0,0.61,0,2.0,High Risk,Rejected,Rejected,52700,0,Rejected,"No established credit history; High debt-to-income ratio (61%); Requested amount (₹2,09,000) exceeds the maximum eligible amount (₹52,700) based on income and repayment capacity"
APP100091,Female,No,Graduate,Salaried,Semiurban,15289.0,0.0,15289.0,10K-20K,97000,180,1042.37,14246.63,509,Poor,1,0.04,0,7.2,High Risk,Rejected,Approved,284600,97000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100092,Male,Yes,Graduate,Salaried,Urban,6220.0,3945.0,10165.0,10K-20K,480000,360,4212.34,5952.66,493,Poor,1,0.119,1,4.2,High Risk,Rejected,Rejected,173700,0,Rejected,"Low credit score (493), below the minimum threshold of 580; Requested amount (₹4,80,000) exceeds the maximum eligible amount (₹1,73,700) based on income and repayment capacity"
APP100093,Male,Yes,Not Graduate,Salaried,Semiurban,7203.0,5791.0,12994.0,10K-20K,127000,360,1114.52,11879.48,585,Fair,0,0.024,2,2.0,High Risk,Rejected,Rejected,148100,0,Rejected,No established credit history
